idea_id,entry_time_et,direction,setup_label,human_1c,max_size,entry_price,pdh,pdl,pdc,pdh_dist,pdl_dist,pdc_dist,gap_pts,round_signed,round_abs,ema20_60m,ema50_60m,entry_vs_60m_ema20,pre_entry_pattern,vol_z,vol_3bar_z
82,2026-01-14 10:26:46.743905-05:00,short,orb_breakout_or_retest_candidate,166.66,1,25663.5,26043.0,25803.25,25904.0,-379.5,-139.75,-240.5,-163.5,13.5,13.5,25864.673490294674,25809.26430087879,below,doji,-1.466203082628377,-1.216216456459577
83,2026-01-14 12:01:38.402792-05:00,long,inverse_orb_candidate,9.16,1,25463.25,26043.0,25803.25,25904.0,-579.75,-340.0,-440.75,-163.5,13.25,13.25,25793.99916098952,25783.604416151473,below,rejection_low,-0.9952430136784209,-0.5969181031930819
85,2026-01-15 09:55:36.631130-05:00,short,discretionary_or_unclassified,33.16,1,25907.5,25791.25,25421.25,25636.75,116.25,486.25,270.75,287.5,7.5,7.5,25707.69960900713,25745.843445720897,above,doji,-0.6130334930373693,-0.294646867470944
86,2026-01-16 09:35:00.665283-05:00,short,pre_or_locked_trade,41.16,1,25832.625,25954.25,25680.75,25718.25,-121.625,151.875,114.375,150.0,-17.375,17.375,25769.27084193071,25768.025534130873,above,doji,-1.0202424205282157,-0.7888006896789047
87,2026-01-16 11:43:34.482257-05:00,short,orb_breakout_or_retest_candidate,14.66,1,25711.0,25954.25,25680.75,25718.25,-243.25,30.25,-7.25,150.0,11.0,11.0,25757.348693734664,25763.123147807855,below,doji,-1.3181111042868356,-1.3665434985900229
89,2026-01-20 10:01:20.785264-05:00,short,discretionary_or_unclassified,17.035,1,25348.1875,25418.0,25236.25,25397.75,-69.8125,111.9375,-49.5625,-155.5,-1.8125,1.8125,25582.975672285356,25678.53255710516,below,doji,-0.7949522362777689,-1.1606701625740912
90,2026-01-21 10:05:49.068050-05:00,short,discretionary_or_unclassified,-15.768571428565192,3,25423.39285714286,25430.0,25099.0,25142.0,-6.607142857141298,324.3928571428587,281.3928571428587,55.0,23.392857142858702,23.392857142858702,25420.46386461375,25577.755363049637,near,rejection_high,-0.9028118948304064,-0.8463878750111493
91,2026-01-21 11:55:03.087982-05:00,long,orb_breakout_or_retest_candidate,8.506153846141533,2,25240.653846153848,25430.0,25099.0,25142.0,-189.34615384615245,141.65384615384755,98.65384615384755,55.0,-9.346153846152447,9.346153846152447,25425.181591793393,25573.529662537887,below,red_against,1.0062588409012483,0.1778320292441662
93,2026-01-22 10:56:25.628149-05:00,short,orb_breakout_or_retest_candidate,-6.268571428572468,5,25683.964285714286,25653.25,25128.5,25471.25,30.714285714286234,555.4642857142862,212.71428571428623,258.5,-16.035714285713766,16.035714285713766,25427.823078694473,25540.213644942898,above,neutral_down,-1.0774187835872737,-0.6341218717641869
94,2026-01-23 10:20:16.571756-05:00,short,discretionary_or_unclassified,2.16,2,25749.416666666668,25732.25,25534.75,25660.75,17.16666666666788,214.66666666666788,88.66666666666788,-53.75,-0.5833333333321207,0.5833333333321207,25546.495272944758,25570.117149940615,above,green_against,1.7342412480229061,-0.11715755457252296
95,2026-01-26 09:58:40.779219-05:00,short,discretionary_or_unclassified,-0.1399999999956345,2,25880.9,25845.5,25562.5,25734.75,35.400000000001455,318.40000000000146,146.15000000000146,14.0,-19.099999999998545,19.099999999998545,25637.74357030816,25608.72996585081,above,neutral_down,-0.5953636257855281,-0.5563894832397486
96,2026-01-27 10:05:07.299025-05:00,short,discretionary_or_unclassified,21.41,4,26056.625,25932.75,25704.25,25844.25,123.875,352.375,212.375,138.5,6.625,6.625,25786.252738878855,25689.122330423907,above,breakout_down,1.227407662267341,-0.43704006452945954
