idea_id,direction,human_1c,max_size,setup_label,or_high_dist,or_low_dist,or_mid_dist,vwap_dist,ema9_15m_dist,ema9_5m_dist,swing_high_dist,swing_low_dist,sess_high_dist,sess_low_dist
138,short,82.16,1,discretionary_or_unclassified,-57.5,82.5,12.5,-48.5282514583123,-85.84694168559508,-78.86976700505693,-140.5,-58.25,-140.5,82.5
139,short,38.16,1,discretionary_or_unclassified,87.0,207.5,147.25,56.93408838776304,-15.770712386831292,-15.024670093305758,-80.0,67.25,-80.0,207.5
140,short,2.6140816326552887,97,discretionary_or_unclassified,106.47193877551035,277.72193877551035,192.09693877551035,228.18677784416286,24.304476843779412,172.76399154025785,212.47193877551035,319.22193877551035,106.47193877551035,319.22193877551035
143,short,39.66,1,discretionary_or_unclassified,52.0,173.5,112.75,126.19408306161495,184.23646419827492,71.97238320331962,16.0,240.5,2.25,240.5
144,short,24.66,1,discretionary_or_unclassified,33.625,155.125,94.375,41.722253036277834,-28.82951573796163,-60.12176596424251,-103.125,-32.125,-103.125,222.125
146,short,2.9599999999956346,1,discretionary_or_unclassified,-143.90000000000146,-62.900000000001455,-103.40000000000146,-115.8007750749457,-91.28164604977428,-109.28899363152232,-140.90000000000146,-81.40000000000146,-208.40000000000146,-43.150000000001455
148,short,122.66,1,discretionary_or_unclassified,-102.125,-9.375,-55.75,-35.39910818204589,-187.23808117515,-121.40648608667107,-102.125,,-102.125,56.125
149,short,50.66,1,discretionary_or_unclassified,-6.75,155.0,74.125,85.91227801972491,128.84566568021182,119.14658755365235,,155.0,-6.75,155.0
150,short,8.91,1,discretionary_or_unclassified,-59.125,34.875,-12.125,-42.883398451955145,55.998210902187566,-19.837553622404812,-107.875,-22.625,-107.875,34.875
153,short,36.16,1,discretionary_or_unclassified,148.875,234.125,191.5,188.34483254840234,141.77779752582865,155.79317106971212,,,148.875,234.125
154,short,-162.34,1,discretionary_or_unclassified,239.25,364.75,302.0,259.7922533465535,42.89381666344343,180.1653197929336,161.25,229.75,161.25,364.75
155,long,6.731428571427532,7,orb_breakout_or_retest_candidate,290.46428571428623,415.96428571428623,353.21428571428623,284.1876878410949,199.10039301962752,248.93450783972003,222.71428571428623,271.71428571428623,179.71428571428623,415.96428571428623
156,short,47.535,1,discretionary_or_unclassified,228.5,354.0,291.25,218.90850990610488,137.13610730534128,179.02617770034703,160.75,199.5,103.5,354.0
162,short,31.66,1,discretionary_or_unclassified,-48.16666666666788,87.83333333333212,19.83333333333212,-48.69993072109355,56.08445381690399,-77.99542765357182,-169.66666666666788,-89.16666666666788,-169.66666666666788,87.83333333333212
163,short,7.16,1,discretionary_or_unclassified,-93.25,42.75,-25.25,-37.287955235984555,7.0170087731967214,-12.623153298089164,-40.75,16.0,-214.75,170.25
164,short,24.535,5,discretionary_or_unclassified,-32.34375,144.40625,56.03125,72.15376790209848,-117.16504150812762,6.246112981199985,55.65625,144.40625,-32.34375,149.90625
165,short,25.4725,1,discretionary_or_unclassified,-130.0,-30.0,-80.0,-76.91046502201789,101.60317666344781,31.33415533787411,-130.0,,-130.0,-18.25
167,short,29.66,1,discretionary_or_unclassified,-58.0625,34.4375,-11.8125,-71.72138602474297,-165.79499627281257,-93.58972918913787,-129.0625,-77.5625,-140.8125,34.4375
168,short,-10.59,1,discretionary_or_unclassified,-299.0,-206.5,-252.75,-226.09137226476378,-97.68358648648427,-40.97117271375464,-33.0,-5.5,-381.75,8.0
169,long,18.66,1,discretionary_or_unclassified,-285.0,-192.5,-238.75,-202.78561250888743,-61.946869189188874,-6.768192343559349,0.5,29.5,-367.75,29.5
171,long,66.91,1,discretionary_or_unclassified,-146.125,-13.375,-79.75,-56.82492092139,-219.42879524911405,-100.43750670324152,-128.625,-53.625,-146.125,46.125
172,long,12.66,1,discretionary_or_unclassified,-326.0,-193.25,-259.625,-149.02708561838153,-39.04367851004281,-4.5616140592392185,-15.0,28.75,-326.0,28.75
175,short,14.16,1,orb_breakout_or_retest_candidate,-242.5,-78.75,-160.625,-63.680053007145034,-54.278501937977126,-48.65789475078782,-138.75,-13.0,-242.5,33.25
177,short,-44.97636363636033,4,discretionary_or_unclassified,73.25,164.5,118.875,39.733564590103924,177.29853044460833,22.589820599459927,-29.5,41.0,-45.25,164.5
178,long,85.16,2,orb_breakout_or_retest_candidate,155.0,246.25,200.625,127.29789665419958,146.43115069751366,98.84338809788096,57.25,106.25,8.0,247.5
179,short,43.23142857142753,1,discretionary_or_unclassified,319.07142857142753,410.32142857142753,364.69642857142753,267.8580192384761,310.5025792689412,234.5461390497294,221.32142857142753,258.32142857142753,-70.92857142857247,411.57142857142753
181,short,10.16,2,discretionary_or_unclassified,67.66666666666788,218.66666666666788,143.16666666666788,108.3940477980832,198.32909116539668,67.07426969532025,17.91666666666788,86.16666666666788,1.1666666666678793,218.66666666666788
182,short,13.41,1,discretionary_or_unclassified,240.0,381.0,310.5,206.95280156287117,34.35947553736332,119.96454123548392,53.0,200.5,53.0,381.0
184,short,199.66,1,discretionary_or_unclassified,18.25,146.75,82.5,50.42630236253899,156.22965918849513,75.15545634306909,-18.25,146.75,-61.0,146.75
186,short,-27.215,4,orb_breakout_or_retest_candidate,-124.65625,-9.15625,-66.90625,83.71727264783476,83.89163315392943,123.91916900569413,92.34375,136.59375,-124.65625,237.09375
189,long,-26.84,1,ema_continuation_candidate,-76.0,17.75,-29.125,-26.67390616148259,-8.886527958355146,-15.324820842495683,-76.0,,-76.0,21.75
190,short,19.16,1,discretionary_or_unclassified,105.08333333333212,198.83333333333212,151.95833333333212,145.96120387399787,110.51354182582145,43.417284744955396,-46.66666666666788,109.83333333333212,-46.66666666666788,257.5833333333321
191,short,93.16,1,discretionary_or_unclassified,-38.5,43.5,2.5,3.0076878645304532,96.35078007398624,53.66053060522245,,43.5,-38.5,43.5
192,short,3.16,1,discretionary_or_unclassified,57.25,122.0,89.625,64.14036905052126,29.35321319322975,34.9043946051097,-1.75,136.5,-29.5,136.5
193,short,0.6599999999999999,24,discretionary_or_unclassified,206.6467391304359,307.3967391304359,257.0217391304359,233.59327367019796,408.4863048615298,295.2852544042944,202.3967391304359,234.1467391304359,199.1467391304359,307.3967391304359
194,short,85.16,1,pre_or_locked_trade,-72.5,35.5,-18.5,-5.217029691673815,,28.712420416126406,,,-72.5,23.0
195,short,39.16,2,discretionary_or_unclassified,-73.25,20.0,-26.625,-16.125393465754314,-39.00667539834103,-23.775589939235942,,20.0,-73.25,36.75
196,short,5.3266666666642415,4,orb_breakout_or_retest_candidate,-103.66666666666788,-10.41666666666788,-57.04166666666788,20.224221242959175,38.2204166821939,43.01962421619464,26.33333333333212,56.33333333333212,-103.66666666666788,153.33333333333212
197,short,147.66,1,discretionary_or_unclassified,-8.0,103.75,47.875,26.727027393109893,54.412626011369866,9.030520703287038,-55.0,103.75,-55.0,103.75
198,long,4.16,1,orb_breakout_or_retest_candidate,-105.5,6.25,-49.625,-45.82799900233658,-35.96695070860005,-17.112908522005455,-24.75,40.5,-152.5,70.25
199,short,4.874285714282596,2,discretionary_or_unclassified,99.57142857142753,179.07142857142753,139.32142857142753,103.39938349209842,168.92544119497325,82.49045710318751,92.07142857142753,139.82142857142753,-4.428571428572468,184.32142857142753
200,short,10.767142857144936,1,discretionary_or_unclassified,-81.69642857142753,22.053571428572468,-29.821428571427532,-49.456118202411744,-54.51445844171758,-75.58190838617156,-127.94642857142753,-18.446428571427532,-127.94642857142753,22.053571428572468
