rule,direction,entry_ts,entry_price,exit_ts,exit_price,exit_reason,net_pnl,date,or_class
orb_break,short,2026-03-10 09:59:00-04:00,24963.75,2026-03-10 10:05:00-04:00,24994.25,stop,-62.34,2026-03-10,tight
orb_retest,long,2026-03-10 10:41:00-04:00,25097.5,2026-03-10 11:00:00-04:00,25157.0,target,117.66,2026-03-10,tight
orb_retest,short,2026-03-10 10:00:00-04:00,24929.75,2026-03-10 10:00:00-04:00,24960.25,stop,-62.34,2026-03-10,tight
inverse_orb,long,2026-03-10 10:00:00-04:00,24930.75,2026-03-10 10:05:00-04:00,24990.25,target,117.66,2026-03-10,tight
inverse_orb,short,2026-03-10 14:15:00-04:00,25059.75,2026-03-10 14:20:00-04:00,25000.25,target,117.66,2026-03-10,tight
ema_continuation,long,2026-03-10 12:08:00-04:00,25092.5,2026-03-10 12:25:00-04:00,25152.0,target,117.66,2026-03-10,tight
orb_break,long,2026-03-11 10:01:00-04:00,25149.25,2026-03-11 10:03:00-04:00,25118.75,stop,-62.34,2026-03-11,tight
orb_break,short,2026-03-11 09:51:00-04:00,25022.25,2026-03-11 09:53:00-04:00,25052.75,stop,-62.34,2026-03-11,tight
orb_retest,long,2026-03-11 10:04:00-04:00,25123.0,2026-03-11 10:08:00-04:00,25092.5,stop,-62.34,2026-03-11,tight
orb_retest,short,2026-03-11 09:53:00-04:00,25054.25,2026-03-11 09:58:00-04:00,25084.75,stop,-62.34,2026-03-11,tight
inverse_orb,long,2026-03-11 09:53:00-04:00,25055.25,2026-03-11 10:00:00-04:00,25114.75,target,117.66,2026-03-11,tight
inverse_orb,short,2026-03-11 10:04:00-04:00,25122.0,2026-03-11 10:12:00-04:00,25062.5,target,117.66,2026-03-11,tight
ema_continuation,long,2026-03-11 09:49:00-04:00,25050.75,2026-03-11 09:51:00-04:00,25020.25,stop,-62.34,2026-03-11,tight
ema_continuation,short,2026-03-11 12:31:00-04:00,24987.25,2026-03-11 13:00:00-04:00,25017.75,stop,-62.34,2026-03-11,tight
orb_break,short,2026-03-12 09:46:00-04:00,24707.25,2026-03-12 09:49:00-04:00,24737.75,stop,-62.34,2026-03-12,tight
orb_retest,short,2026-03-12 09:51:00-04:00,24727.25,2026-03-12 09:51:00-04:00,24757.75,stop,-62.34,2026-03-12,tight
inverse_orb,long,2026-03-12 09:51:00-04:00,24728.25,2026-03-12 09:52:00-04:00,24697.75,stop,-62.34,2026-03-12,tight
ema_continuation,short,2026-03-12 11:40:00-04:00,24656.75,2026-03-12 11:40:00-04:00,24687.25,stop,-62.34,2026-03-12,tight
orb_break,long,2026-03-13 09:46:00-04:00,24788.25,2026-03-13 09:49:00-04:00,24757.75,stop,-62.34,2026-03-13,normal
orb_break,short,2026-03-13 10:44:00-04:00,24594.75,2026-03-13 10:55:00-04:00,24535.25,target,117.66,2026-03-13,normal
orb_retest,long,2026-03-13 09:48:00-04:00,24771.25,2026-03-13 09:50:00-04:00,24740.75,stop,-62.34,2026-03-13,normal
orb_retest,short,2026-03-13 10:45:00-04:00,24584.75,2026-03-13 10:56:00-04:00,24525.25,target,117.66,2026-03-13,normal
inverse_orb,short,2026-03-13 09:49:00-04:00,24754.5,2026-03-13 09:53:00-04:00,24785.0,stop,-62.34,2026-03-13,normal
ema_continuation,short,2026-03-13 13:15:00-04:00,24464.75,2026-03-13 13:46:00-04:00,24405.25,target,117.66,2026-03-13,normal
orb_break,long,2026-03-16 09:46:00-04:00,24720.5,2026-03-16 09:52:00-04:00,24690.0,stop,-62.34,2026-03-16,tight
orb_retest,long,2026-03-16 09:47:00-04:00,24733.5,2026-03-16 09:48:00-04:00,24703.0,stop,-62.34,2026-03-16,tight
inverse_orb,short,2026-03-16 09:49:00-04:00,24713.25,2026-03-16 09:58:00-04:00,24743.75,stop,-62.34,2026-03-16,tight
ema_continuation,long,2026-03-16 12:05:00-04:00,24675.0,2026-03-16 12:21:00-04:00,24644.5,stop,-62.34,2026-03-16,tight
orb_break,long,2026-03-17 09:46:00-04:00,24893.25,2026-03-17 09:52:00-04:00,24862.75,stop,-62.34,2026-03-17,tight
orb_break,short,2026-03-17 11:37:00-04:00,24743.5,2026-03-17 11:44:00-04:00,24774.0,stop,-62.34,2026-03-17,tight
orb_retest,long,2026-03-17 09:58:00-04:00,24857.75,2026-03-17 10:11:00-04:00,24827.25,stop,-62.34,2026-03-17,tight
orb_retest,short,2026-03-17 11:38:00-04:00,24740.5,2026-03-17 11:44:00-04:00,24771.0,stop,-62.34,2026-03-17,tight
inverse_orb,long,2026-03-17 11:40:00-04:00,24765.0,2026-03-17 12:07:00-04:00,24734.5,stop,-62.34,2026-03-17,tight
inverse_orb,short,2026-03-17 09:59:00-04:00,24873.75,2026-03-17 10:14:00-04:00,24814.25,target,117.66,2026-03-17,tight
ema_continuation,long,2026-03-17 11:09:00-04:00,24803.0,2026-03-17 11:34:00-04:00,24772.5,stop,-62.34,2026-03-17,tight
orb_break,long,2026-03-18 09:47:00-04:00,24769.5,2026-03-18 09:50:00-04:00,24739.0,stop,-62.34,2026-03-18,tight
orb_break,short,2026-03-18 10:14:00-04:00,24674.0,2026-03-18 10:16:00-04:00,24704.5,stop,-62.34,2026-03-18,tight
orb_retest,long,2026-03-18 09:48:00-04:00,24746.5,2026-03-18 09:54:00-04:00,24716.0,stop,-62.34,2026-03-18,tight
orb_retest,short,2026-03-18 10:15:00-04:00,24686.25,2026-03-18 10:26:00-04:00,24626.75,target,117.66,2026-03-18,tight
inverse_orb,long,2026-03-18 10:16:00-04:00,24692.75,2026-03-18 10:25:00-04:00,24662.25,stop,-62.34,2026-03-18,tight
inverse_orb,short,2026-03-18 09:48:00-04:00,24745.5,2026-03-18 10:13:00-04:00,24686.0,target,117.66,2026-03-18,tight
ema_continuation,short,2026-03-18 09:47:00-04:00,24768.5,2026-03-18 10:02:00-04:00,24709.0,target,117.66,2026-03-18,tight
orb_break,long,2026-03-19 09:50:00-04:00,24275.5,2026-03-19 09:50:00-04:00,24245.0,stop,-62.34,2026-03-19,normal
orb_retest,long,2026-03-19 09:51:00-04:00,24284.25,2026-03-19 09:52:00-04:00,24253.75,stop,-62.34,2026-03-19,normal
inverse_orb,short,2026-03-19 10:22:00-04:00,24220.75,2026-03-19 10:31:00-04:00,24251.25,stop,-62.34,2026-03-19,normal
ema_continuation,short,2026-03-19 11:13:00-04:00,24338.5,2026-03-19 11:19:00-04:00,24279.0,target,117.66,2026-03-19,normal
orb_break,long,2026-03-23 09:50:00-04:00,24575.25,2026-03-23 09:51:00-04:00,24544.75,stop,-62.34,2026-03-23,normal
orb_break,short,2026-03-23 11:57:00-04:00,24404.0,2026-03-23 12:08:00-04:00,24434.5,stop,-62.34,2026-03-23,normal
orb_retest,long,2026-03-23 09:51:00-04:00,24569.5,2026-03-23 09:55:00-04:00,24539.0,stop,-62.34,2026-03-23,normal
orb_retest,short,2026-03-23 12:08:00-04:00,24452.25,2026-03-23 12:20:00-04:00,24392.75,target,117.66,2026-03-23,normal
inverse_orb,long,2026-03-23 12:09:00-04:00,24437.0,2026-03-23 12:17:00-04:00,24406.5,stop,-62.34,2026-03-23,normal
inverse_orb,short,2026-03-23 09:56:00-04:00,24559.25,2026-03-23 09:58:00-04:00,24589.75,stop,-62.34,2026-03-23,normal
ema_continuation,long,2026-03-23 11:37:00-04:00,24556.25,2026-03-23 11:41:00-04:00,24525.75,stop,-62.34,2026-03-23,normal
ema_continuation,short,2026-03-23 13:44:00-04:00,24414.25,2026-03-23 13:55:00-04:00,24444.75,stop,-62.34,2026-03-23,normal
