date,clean,quality,or_class,eligible,reason,or_high,or_low,or_size,breakout_ts,signal_ts,entry_ts,raw_entry,entry_price,stop_price,target_price,exit_ts,raw_exit,exit_price,exit_reason,net_pnl,vwap_at_signal,close_minus_vwap
2025-02-07,True,clean,normal,False,no_upside_breakout,21967.75,21869.5,98.25,,,,,,,,,,,,,,
2025-02-10,True,clean,tight,False,or_class_tight,21803.0,21742.25,60.75,,,,,,,,,,,,,,
2025-02-11,True,clean,normal,True,,21797.0,21700.25,96.75,2025-02-11 10:01:00-05:00,2025-02-11 10:12:00-05:00,2025-02-11 10:13:00-05:00,21800.0,21802.5,21762.5,21852.5,2025-02-11 10:45:00-05:00,21852.5,21850.0,target,93.66,21779.4766245746,21.023375425400445
2025-02-12,True,clean,wide,False,or_class_wide,21667.75,21535.75,132.0,,,,,,,,,,,,,,
2025-02-13,True,clean,normal,True,,21951.0,21835.0,116.0,2025-02-13 10:16:00-05:00,2025-02-13 10:17:00-05:00,2025-02-13 10:18:00-05:00,21961.0,21963.5,21923.5,22013.5,2025-02-13 10:38:00-05:00,22013.5,22011.0,target,93.66,21903.315173950406,57.68482604959354
2025-02-14,True,clean,tight,False,or_class_tight,22138.0,22088.0,50.0,,,,,,,,,,,,,,
2025-02-18,True,clean,tight,False,or_class_tight,22268.0,22211.0,57.0,,,,,,,,,,,,,,
2025-02-19,True,clean,tight,False,or_class_tight,22221.5,22172.75,48.75,,,,,,,,,,,,,,
2025-02-20,True,clean,normal,False,no_upside_breakout,22227.0,22166.0,61.0,,,,,,,,,,,,,,
2025-02-21,True,clean,normal,False,no_upside_breakout,22188.0,22096.75,91.25,,,,,,,,,,,,,,
2025-02-24,True,clean,normal,False,no_upside_breakout,21801.75,21684.0,117.75,,,,,,,,,,,,,,
2025-02-25,True,clean,normal,False,no_upside_breakout,21397.5,21311.0,86.5,,,,,,,,,,,,,,
2025-02-26,True,clean,normal,True,,21274.25,21188.5,85.75,2025-02-26 09:49:00-05:00,2025-02-26 10:07:00-05:00,2025-02-26 10:08:00-05:00,21299.0,21301.5,21261.5,21351.5,2025-02-26 10:18:00-05:00,21351.5,21349.0,target,93.66,21255.989079135594,43.260920864406216
2025-02-27,True,clean,wide,False,or_class_wide,21381.0,21170.0,211.0,,,,,,,,,,,,,,
2025-02-28,True,clean,wide,False,or_class_wide,20644.75,20460.25,184.5,,,,,,,,,,,,,,
2025-03-03,True,clean,wide,False,or_class_wide,21120.75,20942.25,178.5,,,,,,,,,,,,,,
2025-03-04,True,clean,wide,False,or_class_wide,20430.0,20258.5,171.5,,,,,,,,,,,,,,
2025-03-05,True,clean,wide,False,or_class_wide,20455.75,20313.0,142.75,,,,,,,,,,,,,,
2025-03-06,True,clean,normal,False,signal_filtered,20319.75,20228.25,91.5,,,,,,,,,,,,,,
2025-03-07,True,clean,wide,False,or_class_wide,20190.75,20024.25,166.5,,,,,,,,,,,,,,
2025-03-10,True,clean,normal,False,no_upside_breakout,19902.0,19787.75,114.25,,,,,,,,,,,,,,
2025-03-11,True,clean,wide,False,or_class_wide,19553.0,19386.5,166.5,,,,,,,,,,,,,,
2025-03-12,True,clean,normal,False,no_upside_breakout,19776.75,19668.0,108.75,,,,,,,,,,,,,,
2025-03-13,True,clean,normal,False,no_upside_breakout,19577.0,19470.25,106.75,,,,,,,,,,,,,,
2025-03-14,True,clean,normal,False,signal_filtered,19600.5,19450.0,150.5,,,,,,,,,,,,,,
2025-03-17,True,clean,normal,False,no_retest_signal,19848.0,19684.0,164.0,,,,,,,,,,,,,,
2025-03-18,True,clean,wide,False,or_class_wide,19693.5,19504.0,189.5,,,,,,,,,,,,,,
2025-03-19,True,clean,normal,True,,19610.5,19503.25,107.25,2025-03-19 09:54:00-04:00,2025-03-19 10:47:00-04:00,2025-03-19 10:48:00-04:00,19622.25,19624.75,19584.75,19674.75,2025-03-19 11:26:00-04:00,19674.75,19672.25,target,93.66,19613.99718818215,7.752811817848851
2025-03-20,True,clean,normal,False,no_retest_signal,19703.75,19553.75,150.0,,,,,,,,,,,,,,
2025-03-21,False,zero_volume_or,unknown,False,zero_volume_or,,,,,,,,,,,,,,,,,
2025-03-24,True,clean,tight,False,or_class_tight,20293.0,20228.75,64.25,,,,,,,,,,,,,,
2025-03-25,True,clean,tight,False,or_class_tight,20429.0,20368.5,60.5,,,,,,,,,,,,,,
2025-03-26,True,clean,tight,False,or_class_tight,20475.0,20412.75,62.25,,,,,,,,,,,,,,
